Token;English;Russian;German;Spanish;Czech;Dutch;French;Japanese;Korean;Polish;Portuguese_Brazilian;Turkish;Ukrainian;Chinese;Chinese_Trad
pw_msg_notravel;Something you carry prevents the flight;Что-то в поклаже мешает полёту;Etwas in deinem Gepäck verhindert den Flug;Algo en tu carga impide el vuelo;Něco v tvé výbavě brání letu;Iets in je bepakking verhindert de vlucht;Quelque chose dans ton sac empêche le vol;荷物の中の何かが飛行を妨げている;짐 속의 무언가가 비행을 막고 있습니다;Coś w twoim ekwipunku nie pozwala wzlecieć;Algo na sua carga impede o voo;Yükündeki bir şey uçuşu engelliyor;Щось у поклажі заважає польоту;身上有物品阻碍飞行;身上有物品阻礙飛行
pw_msg_canttravel;Wait a moment before your next flight;Подожди немного перед следующим полётом;Warte einen Augenblick vor dem nächsten Flug;Espera un momento antes del próximo vuelo;Před dalším letem chvíli počkej;Wacht even voor je volgende vlucht;Attends un instant avant le prochain vol;次の飛行まで少し待ってください;다음 비행까지 잠시 기다리세요;Odczekaj chwilę przed następnym lotem;Aguarde um pouco antes do próximo voo;Bir sonraki uçuştan önce biraz bekle;Зачекайте трохи перед наступним польотом;请稍候再开始下一次飞行;請稍候再開始下一次飛行
pw_msg_tooclose;Destination is too close;Точка назначения слишком близко;Ziel ist zu nah;El destino está demasiado cerca;Cíl je příliš blízko;Bestemming is te dichtbij;La destination est trop proche;目的地が近すぎます;목적지가 너무 가깝습니다;Cel jest zbyt blisko;O destino está muito próximo;Hedef çok yakın;Пункт призначення надто близько;目的地太近;目的地太近
pw_msg_travel_start;Safe journey to you;Доброго пути;Gute Reise;Buen viaje;Šťastnou cestu;Goede reis;Bon voyage;良い旅を;안전한 여행 되세요;Szczęśliwej podróży;Boa viagem;İyi yolculuklar;Щасливої дороги;旅途平安;旅途平安
pw_msg_travel_inside;The flight will begin once you are outside. Waiting: $1;Полёт начнётся, когда ты выйдешь наружу. Ожидание: $1;Der Flug beginnt, sobald du draußen bist. Warten: $1;El vuelo comenzará cuando salgas al exterior. Esperando: $1;Let začne, až vyjdeš ven. Čekání: $1;De vlucht begint zodra je buiten bent. Wachten: $1;Le vol commencera une fois dehors. Attente : $1;外に出ると飛行が始まります。待機: $1;밖으로 나가면 비행이 시작됩니다. 대기: $1;Lot rozpocznie się, gdy wyjdziesz na zewnątrz. Oczekiwanie: $1;O voo começará quando você sair. Aguardando: $1;Uçuş dışarı çıktığında başlayacak. Bekleme: $1;Політ почнеться після виходу назовні. Очікування: $1;离开室内后开始飞行。等待：$1;離開室內後開始飛行。等待：$1
pw_ward_start_repair;Start repairing;Начать ремонт;Reparatur starten;Iniciar reparación;Začít opravy;Reparatie beginnen;Commencer la réparation;修理を開始;수리 시작;Rozpocznij naprawę;Iniciar reparo;Onarıma başla;Почати ремонт;开始修理;開始修理
pw_ward_offering_surtlingcore_description;feed an old flame to the ward, and damaged structures across ward-linked ground will be mended;накормить оберег древним пламенем, и повреждённые постройки на земле, связанной оберегами, будут восстановлены;nähre den Wächterstein mit einer alten Flamme, und beschädigte Bauten auf durch Wächtersteine verbundenem Boden werden ausgebessert;alimenta a la estatua guardiana con una llama antigua, y las estructuras dañadas en tierras unidas por estatuas guardianas serán reparadas;nakrm strážce starým plamenem a poškozené stavby na půdě spojené strážci budou opraveny;voed de verzegeling met een oude vlam, en beschadigde bouwwerken op door verzegelingen verbonden grond worden hersteld;nourris la balise d’une ancienne flamme, et les structures abîmées des terres liées par les balises seront réparées;古き炎を守護石に与えると、守護石で結ばれた地の傷ついた建物が修復される;오래된 불꽃을 경비석에 바치면 경비석으로 이어진 땅의 손상된 구조물이 수리됩니다;nakarm kamień strażniczy dawnym płomieniem, a uszkodzone budowle na ziemi powiązanej kamieniami strażniczymi zostaną naprawione;alimente a proteção com uma chama antiga, e estruturas danificadas nas terras ligadas por proteções serão reparadas;nazarlığı eski bir alevle besle, nazarlıklara bağlı topraklardaki hasarlı yapılar onarılsın;нагодуйте оберіг давнім полум’ям, і пошкоджені споруди на землі, пов’язаній оберегами, буде відновлено;以古老火焰喂养守护石，守护石相连之地的受损建筑将被修复;以古老火焰餵養保護石，保護石相連之地的受損建築將被修復
pw_ward_offering_blackcore_description;place a black core at the ward, and its buried power will strengthen nearby structures;положить чёрное ядро к оберегу, и его скрытая сила укрепит ближайшие постройки;lege einen schwarzen Kern an den Wächterstein, und seine verborgene Kraft stärkt nahe Bauten;coloca un núcleo negro junto a la estatua guardiana, y su poder enterrado reforzará las estructuras cercanas;polož černé jádro ke strážci a jeho skrytá moc zpevní okolní stavby;plaats een zwarte kern bij de verzegeling, en zijn verborgen kracht versterkt nabije bouwwerken;dépose un noyau noir auprès de la balise, et sa force enfouie renforcera les structures proches;黒核を守護石に据えると、秘められた力が近くの建物を強固にする;검은 핵을 경비석에 놓으면 묻혀 있던 힘이 근처 구조물을 단단하게 합니다;połóż czarny rdzeń przy kamieniu strażniczym, a jego ukryta moc wzmocni pobliskie budowle;coloque um núcleo negro junto à proteção, e seu poder oculto reforçará as estruturas próximas;nazarlığın yanına kara çekirdek koy, gömülü gücü yakındaki yapıları güçlendirsin;покладіть чорне ядро біля оберега, і його прихована сила зміцнить найближчі споруди;将黑暗之核置于守护石旁，它深藏的力量会加固附近建筑;將黑色核心置於保護石旁，它深藏的力量會加固附近建築
pw_ward_offering_food_description;share food with the ward, and gentle healing will pass to allies and tamed creatures;разделить пищу с оберегом, и тихое исцеление коснётся союзников и приручённых существ;teile Speise mit dem Wächterstein, und sanfte Heilung erreicht Verbündete und gezähmte Wesen;comparte comida con la estatua guardiana, y una curación suave alcanzará a aliados y criaturas domesticadas;poděl se o jídlo se strážcem a jemné uzdravení dolehne na spojence i ochočené tvory;deel voedsel met de verzegeling, en zachte genezing bereikt bondgenoten en tamme wezens;partage de la nourriture avec la balise, et une douce guérison touchera alliés et créatures apprivoisées;食べ物を守護石と分かち合うと、穏やかな癒やしが味方と飼い慣らした生き物に届く;음식을 경비석과 나누면 부드러운 치유가 아군과 길들인 생명에게 전해집니다;podziel się jedzeniem z kamieniem strażniczym, a łagodne uzdrowienie dotknie sojuszników i oswojone stworzenia;compartilhe comida com a proteção, e uma cura suave tocará aliados e criaturas domadas;yiyeceği nazarlıkla paylaş, yumuşak bir şifa dostlara ve evcilleştirilmiş canlılara ulaşsın;розділіть їжу з оберегом, і м’яке зцілення торкнеться союзників та приручених істот;与守护石分享食物，温和的治愈会传给盟友和驯服生物;與保護石分享食物，溫和的治癒會傳給盟友和馴服生物
pw_ward_offering_mead_description;pour mead before the ward, and its blessing will reach players on ward-linked ground;вылить медовуху перед оберегом, и её благословение достигнет игроков на земле, связанной оберегами;gieße Met vor dem Wächterstein aus, und sein Segen erreicht Spieler auf durch Wächtersteine verbundenem Boden;derrama hidromiel ante la estatua guardiana, y su bendición alcanzará a los jugadores en tierras unidas por estatuas guardianas;vylij medovinu před strážcem a její požehnání dolehne na hráče na půdě spojené strážci;giet mede uit voor de verzegeling, en zijn zegen bereikt spelers op door verzegelingen verbonden grond;verse de l’hydromel devant la balise, et sa bénédiction atteindra les joueurs des terres liées par les balises;蜂蜜酒を守護石の前に注ぐと、その祝福が守護石で結ばれた地のプレイヤーに届く;벌꿀술을 경비석 앞에 부으면 그 축복이 경비석으로 이어진 땅의 플레이어에게 닿습니다;wylej miód pitny przed kamieniem strażniczym, a jego błogosławieństwo dotrze do graczy na ziemi powiązanej kamieniami strażniczymi;derrame hidromel diante da proteção, e sua bênção alcançará jogadores nas terras ligadas por proteções;bal şarabını nazarlığın önüne dök, kutsaması nazarlıklara bağlı topraklardaki oyunculara ulaşsın;вилийте медовуху перед оберегом, і її благословення досягне гравців на землі, пов’язаній оберегами;在守护石前倾洒蜜酒，它的祝福会传到守护石相连之地的玩家身上;在保護石前傾灑蜜酒，它的祝福會傳到保護石相連之地的玩家身上
